This file contains data on GBBC bird observations from Ohio!
order,species,lat,year,month,day
Passeriformes,Cardinalis cardinalis,39.9621,2003,02,17
Passeriformes,Sitta carolinensis,40.83029,2006,02,20
Passeriformes,Thryothorus ludovicianus,40.177,2004,02,16
Anseriformes,Branta canadensis,39.390236,2003,02,15
Passeriformes,Spinus tristis,41.01862,2000,02,18
Passeriformes,Cyanocitta cristata,40.988682,2005,02,21
Passeriformes,Haemorhous purpureus,39.26749,2000,02,21
Passeriformes,Baeolophus bicolor,39.26868,2009,02,13
Passeriformes,Corvus brachyrhynchos,40.49506,2006,02,20
Passeriformes,Molothrus ater,39.14293,2003,02,16
Passeriformes,Spizelloides arborea,41.246994,2005,02,20
Passeriformes,Zonotrichia albicollis,39.161961,2005,02,21
Passeriformes,Poecile atricapillus,41.31125,2005,02,21
Passeriformes,Cardinalis cardinalis,38.7494,2002,02,18
Passeriformes,Passer domesticus,41.529907,1998,02,22
Piciformes,Picoides villosus,41.38408,2003,02,17
Piciformes,Melanerpes carolinus,39.871517,2004,02,13
Passeriformes,Baeolophus bicolor,40.264347,2006,02,20
Passeriformes,Thryothorus ludovicianus,41.45319,2008,02,16
Passeriformes,Baeolophus bicolor,39.6431,2005,02,18
Passeriformes,Cardinalis cardinalis,40.04618,1999,02,19
Passeriformes,Sitta carolinensis,41.544186,2008,02,15
Passeriformes,Acanthis flammea,41.43505,2008,02,16
Passeriformes,Zonotrichia albicollis,39.480637,2006,02,17
Accipitriformes,Buteo lineatus,39.59037,2008,02,17
Passeriformes,Poecile atricapillus,41.235493,1998,02,20
Passeriformes,Spizelloides arborea,40.72976,2005,02,21
Anseriformes,Anas platyrhynchos,39.588295,2005,02,18
Passeriformes,Melospiza melodia,41.180916,2004,02,13
Passeriformes,Poecile atricapillus,39.87449,1998,02,21
Passeriformes,Junco hyemalis,39.2791,2008,02,16
Passeriformes,Haemorhous mexicanus,40.17036,2004,02,14
Passeriformes,Cardinalis cardinalis,41.4731,2007,02,17
Passeriformes,Melospiza melodia,41.44812,2001,02,17
Passeriformes,Sitta carolinensis,39.78604,2000,02,19
Passeriformes,Passer domesticus,41.34703,2003,02,15
Passeriformes,Sitta carolinensis,39.14293,2007,02,16
Passeriformes,Sitta carolinensis,40.01926,2008,02,16
Columbiformes,Zenaida macroura,41.23617,2000,02,20
Passeriformes,Cardinalis cardinalis,39.3544,2008,02,17
Columbiformes,Zenaida macroura,39.85366,2004,02,15
Passeriformes,Cyanocitta cristata,40.267002,2001,02,18
Passeriformes,Sturnus vulgaris,39.80544,2001,02,17
Anseriformes,Branta canadensis,39.242363,2004,02,16
Anseriformes,Branta canadensis,40.101444,2001,02,17
Passeriformes,Spinus tristis,41.709156,2000,02,19
Passeriformes,Melospiza melodia,40.97506,2009,02,13
Passeriformes,Haemorhous mexicanus,39.691383,2000,02,21
Passeriformes,Agelaius phoeniceus,38.9506,2004,02,16
Columbiformes,Zenaida macroura,41.48521,2000,02,19
Anseriformes,Branta canadensis,40.36795,2009,02,16
Passeriformes,Sturnus vulgaris,39.161961,2004,02,15
Passeriformes,Zonotrichia albicollis,41.31732,2004,02,15
Passeriformes,Passer domesticus,41.17325,2002,02,17
Passeriformes,Haemorhous mexicanus,41.187057,2007,02,16
Passeriformes,Sitta carolinensis,40.144749,2009,02,14
Passeriformes,Poecile atricapillus,41.64958,2002,02,16
Columbiformes,Zenaida macroura,41.100327,2002,02,15
Passeriformes,Cardinalis cardinalis,41.38408,2001,02,16
Passeriformes,Corvus brachyrhynchos,41.6242,2009,02,15
Passeriformes,Sitta carolinensis,41.03834,2001,02,17
Passeriformes,Cyanocitta cristata,40.09893,2001,02,16
Passeriformes,Cardinalis cardinalis,41.52604,2007,02,17
Passeriformes,Haemorhous mexicanus,39.70926,2009,02,15
Passeriformes,Sturnus vulgaris,40.83638,2001,02,17
Passeriformes,Spizelloides arborea,39.833553,2004,02,15
Passeriformes,Cardinalis cardinalis,39.285053,2007,02,16
Passeriformes,Spinus tristis,40.86166,2007,02,16
Passeriformes,Poecile atricapillus,40.561134,2002,02,16
Columbiformes,Zenaida macroura,40.723476,1999,02,21
