class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,egg_mass_g,incubation_d,fledging_age_d,longevity_y,adult_svl_cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter albogularis,NA,Pied Goshawk,NA,NA,NA,251.5,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter badius,NA,Shikra,363.468,3.25,1,140,NA,21,30,32,NA,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter bicolor,NA,Bicolored Hawk,NA,2.7,NA,345,NA,32,NA,NA,NA,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter brachyurus,NA,New Britain Sparrowhawk,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter brevipes,NA,Levant Sparrowhawk,363.468,4,1,203.5,NA,21.85,32.5,42.5,NA,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter castanilius,NA,Chestnut-flanked Sparrowhawk,NA,NA,NA,159.375,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter chilensis,NA,Chilean Hawk,NA,2.7,NA,345,NA,32,NA,NA,NA,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter chionogaster,NA,White-breasted Hawk,547.875,4.25,1,138.5,19.9,19.3,33,24.25,12.58333333,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter cirrocephalus,NA,Collared Sparrowhawk,NA,3.25,NA,180,NA,20.75,NA,NA,NA,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter cooperii,NA,Cooper's Hawk,730,4.35,1,452,20.33333333,40,29.75,32,12,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
