class	order	family	genus	species	common_name	female_maturity_d	litter_or_clutch_size_n	litters_or_clutches_per_y	adult_body_mass_g	maximum_longevity_y	egg_mass_g	incubation_d	fledging_age_d	longevity_y	adult_svl_cm
Aves	Accipitriformes	Accipitridae	Accipiter	albogularis	Pied Goshawk	NA	NA	NA	251.5	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Accipiter	badius	Shikra	363.468	3.25	1	140	NA	21	30	32	NA	30
Aves	Accipitriformes	Accipitridae	Accipiter	bicolor	Bicolored Hawk	NA	2.7	NA	345	NA	32	NA	NA	NA	39.5
Aves	Accipitriformes	Accipitridae	Accipiter	brachyurus	New Britain Sparrowhawk	NA	NA	NA	142	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Accipiter	brevipes	Levant Sparrowhawk	363.468	4	1	203.5	NA	21.85	32.5	42.5	NA	33.5
Aves	Accipitriformes	Accipitridae	Accipiter	castanilius	Chestnut-flanked Sparrowhawk	NA	NA	NA	159.375	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Accipiter	chilensis	Chilean Hawk	NA	2.7	NA	345	NA	32	NA	NA	NA	39.5
Aves	Accipitriformes	Accipitridae	Accipiter	chionogaster	White-breasted Hawk	547.875	4.25	1	138.5	19.9	19.3	33	24.25	12.58333333	29
Aves	Accipitriformes	Accipitridae	Accipiter	cirrocephalus	Collared Sparrowhawk	NA	3.25	NA	180	NA	20.75	NA	NA	NA	32.5
Aves	Accipitriformes	Accipitridae	Accipiter	cooperii	Cooper's Hawk	730	4.35	1	452	20.33333333	40	29.75	32	12	42
Aves	Accipitriformes	Accipitridae	Accipiter	erythrauchen	Rufous-necked Sparrowhawk	NA	NA	NA	156	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Accipiter	erythronemius	Rufous-thighed Hawk	547.875	4.25	1	138.5	19.9	19.3	33	24.25	12.58333333	29
Aves	Accipitriformes	Accipitridae	Accipiter	erythropus	Red-thighed Sparrowhawk	NA	2	NA	107	NA	20.5	NA	NA	NA	24.5
Aves	Accipitriformes	Accipitridae	Accipiter	fasciatus	Brown Goshawk	NA	3	NA	453.5	NA	31	30	30	NA	44
Aves	Accipitriformes	Accipitridae	Accipiter	francesiae	Frances's Sparrowhawk	NA	3	NA	135.25	NA	NA	NA	NA	NA	25
Aves	Accipitriformes	Accipitridae	Accipiter	gentilis	Northern Goshawk	636.835	3.5	1	988.75	22	58	34.75	41.65	17.70833333	54.5
Aves	Accipitriformes	Accipitridae	Accipiter	griseiceps	Sulawesi Goshawk	NA	NA	NA	255.5	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Accipiter	gularis	Japanese Sparrowhawk	NA	3.2	NA	118.75	NA	18	NA	NA	NA	28.25
Aves	Accipitriformes	Accipitridae	Accipiter	gundlachi	Gundlach's Hawk	NA	3.75	NA	675	NA	NA	NA	NA	NA	43
Aves	Accipitriformes	Accipitridae	Accipiter	haplochrous	White-bellied Goshawk	NA	3	NA	240.5	NA	25.5	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Accipiter	henstii	Henst's Goshawk	NA	2	NA	1050	NA	NA	NA	NA	NA	57
Aves	Accipitriformes	Accipitridae	Accipiter	hiogaster	Variable Goshawk	NA	2.725	NA	342.75	NA	40.5	NA	NA	NA	49.5
Aves	Accipitriformes	Accipitridae	Accipiter	imitator	Imitator Goshawk	NA	NA	NA	237.75	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Accipiter	luteoschistaceus	Slaty-mantled Goshawk	NA	NA	NA	213.75	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Accipiter	madagascariensis	Madagascan Sparrowhawk	NA	3	NA	182	NA	NA	NA	NA	NA	36
Aves	Accipitriformes	Accipitridae	Accipiter	melanochlamys	Black-mantled Goshawk	NA	NA	NA	269	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Accipiter	melanoleucus	Black Sparrowhawk	1090.404	2.8	1	701.8833333	10	50.75	37.5	40	7.5	47
Aves	Accipitriformes	Accipitridae	Accipiter	meyerianus	Meyer's Goshawk	NA	3	NA	815	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Accipiter	minullus	Little Sparrowhawk	363.468	2	NA	84.05	NA	17.95	31.5	25.5	NA	22.5
Aves	Accipitriformes	Accipitridae	Accipiter	nisus	Eurasian Sparrowhawk	365	4.75	1	212	20.25	22.5	34	26.5	17.89166667	34
Aves	Accipitriformes	Accipitridae	Accipiter	novaehollandiae	Grey Goshawk	NA	2.725	NA	479.5833333	NA	40.5	NA	NA	NA	49.5
Aves	Accipitriformes	Accipitridae	Accipiter	ovampensis	Ovambo Sparrowhawk	NA	3	NA	199.1666667	NA	NA	33	33	NA	34.5
Aves	Accipitriformes	Accipitridae	Accipiter	poliocephalus	Grey-headed Goshawk	NA	1	NA	225	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Accipiter	rhodogaster	Vinous-breasted Sparrowhawk	NA	NA	NA	188.5	NA	NA	NA	NA	NA	NA
Aves	Accipitriformes	Accipitridae	Accipiter	rufitorques	Fiji Goshawk	NA	2.7	NA	209	NA	NA	NA	NA	NA	36
Aves	Accipitriformes	Accipitridae	Accipiter	rufiventris	Rufous-breasted Sparrowhawk	NA	3	NA	198	NA	23	NA	29	NA	32.5
Aves	Accipitriformes	Accipitridae	Accipiter	soloensis	Chinese Sparrowhawk	726.936	3.5	NA	161	NA	17	NA	NA	NA	27.5
