STATE	YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
CO	1895	33.60	33.30	46.10	60.80	66.50	74.00	77.70	80.00	75.70	60.30	42.30	33.90
CO	1896	41.20	41.30	44.80	58.30	68.00	80.20	80.90	81.20	70.10	59.20	42.80	43.10
CO	1897	34.20	36.80	42.80	55.80	70.50	77.40	82.00	79.60	75.20	59.80	48.50	33.40
CO	1898	32.60	43.40	43.50	59.00	61.80	76.60	81.90	82.00	72.20	57.70	43.00	30.90
CO	1899	34.00	29.40	43.70	58.70	66.50	77.20	80.20	79.80	74.90	58.00	50.50	35.00
CO	1900	40.80	39.10	51.90	52.40	68.10	80.10	82.90	81.90	70.20	62.90	49.30	41.50
CO	1901	39.40	37.90	46.00	55.50	67.60	76.80	86.70	80.70	72.70	63.10	52.90	38.60
CO	1902	38.40	43.20	44.30	59.00	68.70	78.80	80.30	80.80	72.30	61.80	46.70	36.40
CO	1903	37.50	28.30	44.10	55.60	63.80	69.80	80.90	80.30	70.00	62.40	49.70	41.80
CO	1904	36.60	47.30	51.40	58.30	65.50	71.70	79.00	77.80	72.20	60.20	53.00	39.80
CO	1905	33.90	33.00	48.80	53.00	61.80	77.00	79.00	81.20	73.40	57.70	48.30	35.80
CO	1906	39.50	43.90	39.30	56.20	65.50	74.60	76.70	78.30	69.80	58.10	44.20	43.50
CO	1907	38.90	48.70	54.00	55.50	58.70	71.80	80.70	78.00	72.40	63.10	46.50	38.10
CO	1908	38.00	40.30	51.20	59.00	62.80	74.20	80.10	77.00	74.40	56.10	44.80	34.00
CO	1909	38.80	38.20	43.30	51.80	62.40	75.80	81.90	79.90	69.80	61.90	47.50	25.80
CO	1910	35.10	37.50	58.40	60.40	65.20	78.40	83.60	79.10	74.30	63.10	51.30	40.10
CO	1911	42.30	37.70	51.10	56.90	68.00	77.90	77.50	78.90	73.70	56.10	42.80	32.10
CO	1912	34.00	37.00	38.30	52.40	64.60	72.00	78.20	77.70	64.80	58.10	48.90	34.40
CO	1913	33.60	32.80	43.30	57.60	68.80	74.30	80.90	82.60	67.80	56.30	49.60	29.60
CO	1914	36.90	37.20	47.80	55.60	65.50	76.00	78.80	79.10	74.30	60.50	53.60	30.40
CO	1915	33.30	40.40	40.60	57.90	60.90	71.40	78.00	75.90	70.00	63.10	48.60	38.50
CO	1916	32.00	42.90	52.60	55.20	65.10	76.30	82.40	76.40	70.80	56.80	44.70	32.70
CO	1917	32.50	38.90	41.00	51.20	56.50	75.20	83.00	77.10	72.10	59.70	52.50	42.90
CO	1918	30.60	41.90	51.80	50.50	66.50	80.70	79.70	79.40	68.20	60.70	42.00	33.60
CO	1919	33.30	34.10	44.50	55.70	67.00	76.60	82.70	82.20	73.60	54.70	43.20	35.10
CO	1920	38.40	40.60	45.80	47.20	65.00	74.00	81.50	76.00	71.00	59.50	43.20	35.80
CO	1921	38.60	42.80	52.20	53.40	65.70	74.80	80.50	77.80	74.40	65.40	51.10	41.30
CO	1922	33.20	38.80	45.70	52.40	65.60	79.50	82.00	81.60	75.50	62.80	43.30	39.60
CO	1923	42.70	37.70	42.50	55.00	64.90	74.90	81.10	75.80	68.50	52.10	47.40	36.40
CO	1924	33.00	43.40	36.50	54.80	63.30	78.30	80.90	81.50	71.30	61.20	49.80	29.90
CO	1925	31.60	43.20	51.50	60.80	69.60	76.10	81.30	76.10	71.20	54.60	44.40	37.80
CO	1926	34.00	44.60	46.10	56.00	65.80	76.50	79.50	81.30	72.20	63.70	47.00	34.50
CO	1927	40.70	43.00	44.60	56.80	69.50	73.70	79.60	74.00	69.30	63.30	50.40	32.80
CO	1928	40.90	40.50	49.10	54.20	66.20	71.10	80.80	78.70	73.40	59.90	43.80	34.70
CO	1929	33.10	31.50	45.50	53.90	64.40	77.00	81.90	79.40	67.60	59.20	38.30	41.50
CO	1930	26.80	47.20	45.30	62.60	63.20	77.80	81.40	78.80	71.70	58.80	45.80	34.10
CO	1931	38.30	43.10	43.90	57.00	64.30	80.20	85.00	80.80	75.50	62.80	43.70	35.20
CO	1932	30.40	44.00	42.20	58.20	67.80	74.80	83.20	80.70	72.80	59.60	50.00	30.00
CO	1933	37.60	34.60	49.80	53.20	63.00	81.00	84.40	78.80	76.00	65.40	51.60	44.40
CO	1934	42.50	45.40	53.60	61.40	74.40	79.60	87.00	82.60	71.70	66.50	49.40	39.80
CO	1935	43.30	44.60	49.10	54.20	58.00	77.00	84.20	81.20	72.90	60.30	44.90	39.40
CO	1936	35.80	36.60	49.70	58.80	69.90	80.30	85.00	81.40	72.20	58.10	49.10	39.20
CO	1937	26.40	39.40	44.40	56.60	69.00	74.80	83.10	84.20	74.30	61.60	47.40	37.90
CO	1938	37.80	41.30	47.90	57.20	63.30	76.30	81.70	82.60	72.40	63.70	41.80	38.30
CO	1939	36.50	31.50	47.20	58.90	70.00	77.50	85.30	81.00	74.50	62.40	51.80	46.00
CO	1940	30.30	39.70	49.90	56.80	69.00	79.70	84.40	80.70	72.20	64.10	42.90	38.90
CO	1941	36.40	41.60	44.10	51.60	67.30	72.40	80.50	79.10	69.50	56.70	49.20	40.10
CO	1942	34.90	33.20	43.20	57.70	65.90	74.80	82.80	80.00	71.80	59.90	50.70	40.40
CO	1943	39.60	46.90	46.40	63.80	63.50	75.60	84.20	81.30	74.40	62.30	49.10	37.50
CO	1944	35.90	38.70	42.60	49.90	66.30	75.20	80.60	81.80	74.90	63.50	46.50	38.20
CO	1945	38.20	41.00	48.90	51.00	67.10	71.00	81.70	79.80	71.80	63.20	48.50	35.50
CO	1946	38.30	44.10	51.80	63.60	62.30	79.30	83.60	79.30	73.60	57.30	40.30	43.00
CO	1947	36.80	40.60	45.40	54.20	66.60	72.00	82.80	80.70	76.00	64.40	40.30	36.90
CO	1948	35.10	35.60	39.20	59.60	67.80	75.00	82.60	80.60	77.00	62.30	41.30	37.40
CO	1949	27.10	37.00	46.50	57.40	65.10	72.80	81.20	80.40	73.50	58.20	56.70	39.90
CO	1950	38.00	45.40	46.70	58.20	64.10	77.90	78.00	78.10	68.60	69.30	48.70	43.30
CO	1951	35.60	42.30	45.20	53.50	66.10	71.20	83.00	79.00	72.90	58.50	43.30	35.00
CO	1952	37.30	39.00	40.00	56.20	65.70	81.00	82.50	80.10	75.00	65.80	40.80	35.20
CO	1953	43.90	40.50	50.60	52.30	61.30	79.80	82.80	78.70	76.50	62.80	48.60	35.70
CO	1954	41.00	51.30	44.40	63.40	66.60	79.40	84.80	80.70	74.70	61.80	52.30	39.90
CO	1955	34.20	34.40	46.00	56.90	65.90	73.00	84.10	80.90	74.50	64.60	44.00	41.10
CO	1956	41.30	35.20	48.50	55.30	70.00	82.20	81.50	78.30	77.80	64.80	42.30	39.20
CO	1957	33.80	45.70	45.40	50.20	59.80	74.20	81.00	78.90	71.50	57.60	40.20	43.30
CO	1958	38.60	43.30	38.40	51.70	70.00	78.20	80.20	82.50	73.60	63.20	48.80	42.60
CO	1959	37.80	38.40	45.90	55.80	65.50	79.70	82.70	80.40	70.20	57.10	47.30	42.20
CO	1960	33.40	30.40	45.20	59.10	66.10	77.90	82.20	82.80	74.40	60.00	48.80	35.90
CO	1961	39.30	43.10	45.60	53.90	66.10	77.70	81.10	79.30	65.60	60.30	42.30	33.50
CO	1962	31.80	41.90	43.20	59.70	68.60	74.70	80.40	82.00	72.20	64.40	50.50	42.50
CO	1963	30.20	45.50	47.10	58.80	70.90	77.90	85.20	78.20	75.00	67.80	50.70	36.80
CO	1964	37.10	34.50	40.90	53.80	67.50	74.70	85.40	78.80	71.40	64.80	45.10	36.80
CO	1965	40.10	38.50	37.90	57.00	65.00	71.70	80.20	77.00	64.00	64.80	51.30	40.80
CO	1966	33.40	34.80	51.40	56.70	70.20	76.30	84.40	78.50	72.60	60.90	50.30	36.80
CO	1967	39.30	42.80	53.40	58.20	63.00	71.10	80.20	77.80	71.00	63.80	49.30	32.20
CO	1968	36.30	41.60	49.10	52.20	62.60	78.70	80.40	75.50	71.40	63.20	43.10	36.10
CO	1969	40.70	40.70	40.00	59.70	68.90	70.60	82.50	82.10	72.50	49.30	46.40	39.20
CO	1970	37.40	47.20	41.80	51.20	69.20	74.90	81.90	82.20	69.70	53.60	46.30	40.70
CO	1971	37.90	38.80	47.60	56.00	63.30	78.70	81.10	80.30	68.60	58.90	45.40	35.60
CO	1972	37.90	45.30	55.40	58.60	66.40	77.30	81.00	78.60	70.40	58.00	36.70	30.70
CO	1973	31.20	38.50	43.10	49.80	63.90	75.80	79.60	81.20	68.40	63.10	47.20	37.90
CO	1974	31.30	39.70	51.60	55.80	71.50	78.50	82.80	77.90	70.70	61.90	46.30	35.40
CO	1975	35.80	38.10	44.90	52.70	63.20	73.80	81.40	80.50	70.70	64.10	45.20	39.80
CO	1976	37.40	46.50	46.50	57.00	65.50	76.50	83.20	79.10	70.30	57.90	47.40	41.40
CO	1977	35.30	45.30	46.30	58.70	67.50	80.90	82.50	79.00	74.70	63.60	48.00	41.90
CO	1978	34.00	36.20	50.30	58.40	62.80	77.00	84.50	79.80	74.00	63.80	45.40	30.30
CO	1979	26.00	38.70	45.60	56.40	62.80	75.30	82.30	78.10	76.30	64.30	39.20	40.30
CO	1980	34.30	41.40	43.50	53.30	61.90	80.30	85.40	80.90	74.00	60.70	48.80	48.30
CO	1981	45.40	45.90	46.90	63.30	63.00	79.90	82.10	78.20	73.90	58.20	51.50	41.00
CO	1982	37.20	39.10	48.20	56.00	63.70	72.50	81.60	80.00	69.50	57.50	44.20	38.20
CO	1983	39.70	42.40	44.40	48.70	60.60	71.70	82.40	82.70	75.70	62.30	45.80	28.70
CO	1984	32.00	39.20	43.80	50.00	68.60	74.50	82.20	79.80	71.10	51.70	47.80	38.80
CO	1985	33.20	35.90	48.30	59.10	67.00	77.70	81.60	81.60	67.60	59.50	40.50	36.00
CO	1986	45.40	43.50	55.00	57.90	65.90	77.20	80.70	80.10	68.00	57.70	46.20	38.60
CO	1987	37.40	42.00	45.20	60.50	65.50	78.00	82.60	77.70	72.00	63.60	46.70	35.30
CO	1988	31.10	40.80	46.50	58.50	66.50	79.90	83.30	81.50	71.10	64.80	46.80	38.60
CO	1989	39.00	34.10	53.70	61.10	68.50	74.00	84.10	78.40	72.10	61.40	51.10	36.80
CO	1990	39.10	39.90	48.50	58.30	64.50	81.60	79.80	79.50	75.30	61.20	49.90	33.30
