county,Pop,Perc,Town,x_1,y_1
Adams ,"27,706",-2.91,West Union,-83.54616,38.79483
Allen ,"101,603",-4.47,Lima,-84.10745,40.74269
Ashland ,"53,040",-0.53,Ashland,-82.3155,40.86865
Ashtabula ,"96,549",-4.79,Jefferson,-80.76946,41.73886
Athens ,"64,943",-0.35,Athens,-82.10444,39.3285
Auglaize ,"45,496",-0.88,Wapakoneta,-84.19476,40.56789
Belmont ,"65,952",-6.23,Saint Saint Clairsville,-80.90009,40.08063
Brown ,"43,156",-3.8,Georgetown,-83.90532,38.86469
Butler ,"385,402",4.42,Hamilton,-84.56315,39.40022
Carroll ,"26,578",-7.86,Carrollton,-81.08726,40.57342
Champaign ,"39,085",-2.48,Urbana,-83.75238,40.10914
Clark ,"133,193",-3.67,Springfield,-83.80673,39.92503
Clermont ,"208,232",5.38,Batavia,-84.17941,39.07859
Clinton ,"41,734",-0.45,Wilmington,-83.82844,39.44713
Columbiana ,"100,703",-6.66,Lisbon,-80.76739,40.77218
Coshocton ,"36,608",-0.89,Coshocton,-81.86665,40.27229
Crawford ,"41,514",-5.12,Bucyrus,-82.97642,40.80865
Cuyahoga ,"1,221,780",-4.41,Cleveland,-81.69074,41.50473
Darke ,"50,741",-4.2,Greenville,-84.63403,40.10306
Defiance ,"38,083",-2.56,Defiance,-84.36228,41.28647
Delaware ,"217,349",24.13,Delaware,-83.06577,40.30114
Erie ,"73,772",-4.16,Sandusky,-82.70737,41.44876
Fairfield ,"160,758",9.79,Lancaster,-82.60428,39.71379
Fayette ,"28,269",-2.57,Washington Court House,-83.44047,39.53535
Franklin ,"1,334,870",14.46,Columbus,-83.00275,39.96199
Fulton ,"41,844",-1.84,Wauseon,-84.13434,41.55018
Gallia ,"29,804",-4.08,Gallipolis,-82.20616,38.80867
Geauga ,"93,057",-0.36,Chardon,-81.20288,41.58339
Greene ,"171,919",6.39,Xenia,-83.92817,39.68511
Guernsey ,"38,603",-3.87,Cambridge,-81.59011,40.02478
Hamilton ,"821,529",2.4,Cincinnati,-84.45689,39.162
Hancock ,"75,509",1.1,Findlay,-83.6503,41.0376
Hardin ,"31,259",-2.7,Kenton,-83.60797,40.64782
Harrison ,"14,786",-6.57,Cadiz,-80.99669,40.27262
Henry ,"26,836",-4.74,Napoleon,-84.12583,41.39197
Highland ,"43,379",-0.55,Hillsboro,-83.61211,39.20228
Hocking ,"28,078",-4.75,Logan,-82.40684,39.54053
Holmes ,"44,042",3.69,Millersburg,-81.91676,40.55416
Huron ,"58,070",-2.5,Norwalk,-82.61538,41.24216
Jackson ,"32,507",-2.23,Jackson,-82.63973,39.05406
Jefferson ,"64,427",-7.53,Steubenville,-80.63843,40.36962
Knox ,"63,166",3.4,Mount Vernon,-82.48572,40.3934
Lake ,"230,243",0.1,Painesville,-81.24528,41.72424
Lawrence ,"58,855",-5.72,Ironton,-82.68401,38.53517
Licking ,"179,254",7.53,Newark,-82.40405,40.06027
Logan ,"46,352",1.33,Bellefontaine,-83.75957,40.36243
