species_sc	species_en	range
Dendrocopos pubescens	Downy Woodpecker	NA
Picoides villosus	Hairy Woodpecker	NA, MA
Otus asio	Eastern Screech Owl	NA, MA
Larus minutus	Little Gull	EU
Anas clypeata	Northern Shoveler	NA, EU
Chen caerulescens	Snow Goose	NA
Anas strepera	Gadwall	NA, EU
Anas americana	American Wigeon	NA
Grus canadensis	Sandhill Crane	NA
Ammodramus nelsoni	Nelson's Sparrow	NA
Larus thayeri	Thayer's Gull	NA
Anas penelope	Eurasian Wigeon	EU
Anas discors	Blue-winged Teal	NA
Chen rossii	Ross's Goose	NA
