county,Pop,Perc
Vinton ,"12,965",-3.28
Monroe ,"13,388",-8.36
Morgan ,"14,362",-4.47
Noble ,"14,578",-0.56
Harrison ,"14,786",-6.57
Paulding ,"18,532",-5.24
Wyandot ,"21,480",-4.91
Meigs ,"22,593",-4.80
Carroll ,"26,578",-7.86
Henry ,"26,836",-4.74
Pike ,"27,452",-4.05
Adams ,"27,706",-2.91
Hocking ,"28,078",-4.75
Fayette ,"28,269",-2.57
Van Wert ,"28,319",-1.25
Gallia ,"29,804",-4.08
Hardin ,"31,259",-2.70
Jackson ,"32,507",-2.23
Putnam ,"33,979",-1.44
Morrow ,"35,758",2.78
Perry ,"36,324",0.80
Williams ,"36,598",-2.44
Coshocton ,"36,608",-0.89
Defiance ,"38,083",-2.56
Guernsey ,"38,603",-3.87
Champaign ,"39,085",-2.48
Ottawa ,"40,037",-3.20
Preble ,"40,624",-3.67
Crawford ,"41,514",-5.12
Mercer ,"41,612",2.02
Clinton ,"41,734",-0.45
Fulton ,"41,844",-1.84
Brown ,"43,156",-3.80
Highland ,"43,379",-0.55
Holmes ,"44,042",3.69
Madison ,"45,415",4.56
Auglaize ,"45,496",-0.88
Logan ,"46,352",1.33
Shelby ,"48,526",-1.67
Darke ,"50,741",-4.20
Ashland ,"53,040",-0.53
Seneca ,"55,146",-2.60
Huron ,"58,070",-2.50
Sandusky ,"58,074",-4.62
Lawrence ,"58,855",-5.72
Pickaway ,"59,217",6.24
Washington ,"59,511",-3.57
Union ,"61,400",17.03
Knox ,"63,166",3.40
Marion ,"64,425",-3.06
Jefferson ,"64,427",-7.53
Athens ,"64,943",-0.35
Belmont ,"65,952",-6.23
Erie ,"73,772",-4.16
Scioto ,"74,982",-5.88
Hancock ,"75,509",1.10
Ross ,"76,230",-2.39
Muskingum ,"86,383",0.20
Tuscarawas ,"91,803",-0.80
Geauga ,"93,057",-0.36
Ashtabula ,"96,549",-4.79
Columbiana ,"100,703",-6.66
Allen ,"101,603",-4.47
Miami ,"108,877",6.23
Wayne ,"115,550",1.01
Richland ,"121,488",-2.15
Wood ,"131,569",4.46
Clark ,"133,193",-3.67
Fairfield ,"160,758",9.79
Portage ,"162,394",0.62
Greene ,"171,919",6.39
Licking ,"179,254",7.53
Medina ,"181,282",5.09
Trumbull ,"196,844",-6.19
Clermont ,"208,232",5.38
Delaware ,"217,349",24.13
Mahoning ,"227,617",-4.52
Lake ,"230,243",0.10
Warren ,"239,916",12.41
Lorain ,"311,395",3.29
Stark ,"369,322",-1.61
Butler ,"385,402",4.42
Lucas ,"425,820",-3.54
Montgomery ,"531,861",-0.70
Summit ,"540,333",-0.24
Hamilton ,"821,529",2.40
Cuyahoga ,"1,221,780",-4.41
Franklin ,"1,334,870",14.46
