SampleID	Experiment	GH_trial	AMF	Treatment
C6_myb2	CAPS	CAPS_6	Ri	Agrobacterium_noexp
C6_myb3	CAPS	CAPS_6	Ri	Agrobacterium_noexp
C6_myb4	CAPS	CAPS_6	Ri	Agrobacterium_noexp
CT_05	CAPS	CAPS_6	Ri	mock
CT_06	CAPS	CAPS_6	Ri	mock
CT_09	CAPS	CAPS_6	Ri	mock
T_26	CAPS	CAPS_6	Ri	Agrobacterium_myb
T_29	CAPS	CAPS_6	Ri	Agrobacterium_myb
T_30	CAPS	CAPS_6	Ri	Agrobacterium_myb
cnt_1	CAPS	CAPS_7	control	mock
cnt_2	CAPS	CAPS_7	control	mock
cnt_3	CAPS	CAPS_7	control	mock
myb_1	CAPS	CAPS_7	control	Agrobacterium_myb
myb_2	CAPS	CAPS_7	control	Agrobacterium_myb
myb_3	CAPS	CAPS_7	control	Agrobacterium_myb
