baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Solyc00g160260.1	0	NA	NA	NA	NA	NA
Solyc00g160270.1	0	NA	NA	NA	NA	NA
Solyc00g500003.1	9.39133323700301	-1.59120557066403	1.21230183321586	-1.31254900971571	0.189334961166692	0.871670509858093
Solyc00g500004.1	0	NA	NA	NA	NA	NA
Solyc00g500005.1	0	NA	NA	NA	NA	NA
Solyc00g500006.1	0	NA	NA	NA	NA	NA
Solyc00g500007.1	0	NA	NA	NA	NA	NA
Solyc00g500008.1	0	NA	NA	NA	NA	NA
Solyc00g500009.1	0	NA	NA	NA	NA	NA
Solyc00g500010.1	0	NA	NA	NA	NA	NA
Solyc00g500011.1	0.0980002152633473	0	4.85677794710338	0	1	NA
Solyc00g500013.1	0.0881137363125708	0	4.85677794710338	0	1	NA
Solyc00g500014.1	0	NA	NA	NA	NA	NA
Solyc00g500015.1	0	NA	NA	NA	NA	NA
Solyc02g010630.2	0	NA	NA	NA	NA	NA
Solyc02g010600.2	0	NA	NA	NA	NA	NA
Solyc00g500016.1	0	NA	NA	NA	NA	NA
Solyc00g500017.1	0	NA	NA	NA	NA	NA
Solyc00g500018.1	0	NA	NA	NA	NA	NA
Solyc00g014290.1	0	NA	NA	NA	NA	NA
Solyc00g005280.1	0	NA	NA	NA	NA	NA
Solyc00g500019.1	0	NA	NA	NA	NA	NA
Solyc00g500020.1	0	NA	NA	NA	NA	NA
Solyc00g500021.1	0	NA	NA	NA	NA	NA
Solyc00g500022.1	0.830677871976591	-2.49832659418794	2.85652505406957	-0.874603424405005	0.381789723887754	NA
Solyc00g180440.2	0.30653636335879	-0.123885843853685	4.8039347699011	-0.0257884109147126	0.979426105526575	NA
Solyc00g500023.1	67.18003093752	-0.0543950877593313	0.613466615814446	-0.088668374703839	0.929345466838726	0.999076998952386
Solyc00g500024.1	0.113946372267454	-0.181745876116871	4.85677794710338	-0.0374210800033108	0.970149265028576	NA
Solyc00g500025.1	0	NA	NA	NA	NA	NA
Solyc00g500026.1	0	NA	NA	NA	NA	NA
